"order_id";"customer_id";"product_id";"category";"brand";"sub_category";"order_date";"quantity";"order_status";"order_channel";"warehouse_id";"payment_method";"gross_revenue";"total_cost";"discount_amount";"net_revenue";"shipping_cost";"reverse_shipping_cost";"total_logistics";"delivery_days";"delivery_status";"payment_fee";"is_returned";"return_reason";"refund_status";"net_profit"
3786;6299;1;"Fashion";"BrandD";"SubCat-0";"2024-11-16";3;"PENDING";"WEB";12;"COD";2910.0;897.0;202.0;2708.0;0.0;0.0;0.0;6;"ON_TIME";101.85;0;"No Return";"NA";1709.15
4592;429;1;"Fashion";"BrandD";"SubCat-0";"2024-08-21";2;"CANCELLED";"CALL_CENTER";10;"CARD";1940.0;598.0;305.0;1635.0;0.0;0.0;0.0;6;"ON_TIME";40.74;0;"No Return";"NA";996.26
5086;1583;1;"Fashion";"BrandD";"SubCat-0";"2024-10-27";3;"CANCELLED";"WEB";19;"WALLET";2910.0;897.0;0.0;2910.0;69.0;0.0;69.0;5;"LOST";58.2;0;"No Return";"NA";1885.8
7337;6691;1;"Fashion";"BrandD";"SubCat-0";"2024-04-12";1;"DELIVERED";"WEB";8;"UPI";970.0;299.0;120.0;850.0;0.0;0.0;0.0;6;"ON_TIME";11.64;0;"No Return";"NA";539.36
12611;4222;1;"Fashion";"BrandD";"SubCat-0";"2024-10-12";4;"PENDING";"APP";9;"WALLET";3880.0;1196.0;281.0;3599.0;0.0;0.0;0.0;6;"ON_TIME";77.6;1;"Quality Issue";"Processed";-1273.6
13243;1562;1;"Fashion";"BrandD";"SubCat-0";"2024-10-21";5;"CANCELLED";"APP";8;"COD";4850.0;1495.0;0.0;4850.0;0.0;0.0;0.0;6;"ON_TIME";169.75;0;"No Return";"NA";3185.25
16408;3863;1;"Fashion";"BrandD";"SubCat-0";"2024-09-01";5;"DELIVERED";"WEB";17;"WALLET";4850.0;1495.0;0.0;4850.0;0.0;0.0;0.0;6;"ON_TIME";97.0;1;"Late Delivery";"Processed";-1592.0
359;592;2;"Fashion";"BrandC";"SubCat-1";"2024-04-05";5;"SHIPPED";"APP";10;"CARD";2530.0;1890.0;95.0;2435.0;0.0;0.0;0.0;6;"ON_TIME";53.13;0;"No Return";"NA";491.87
6768;5846;2;"Fashion";"BrandC";"SubCat-1";"2024-06-18";4;"PENDING";"WEB";1;"COD";2024.0;1512.0;0.0;2024.0;0.0;0.0;0.0;6;"ON_TIME";70.84;0;"No Return";"NA";441.16
9578;6910;2;"Fashion";"BrandC";"SubCat-1";"2024-10-19";4;"DELIVERED";"WEB";23;"COD";2024.0;1512.0;143.0;1881.0;0.0;0.0;0.0;6;"ON_TIME";70.84;0;"No Return";"NA";298.16
10379;1061;2;"Fashion";"BrandC";"SubCat-1";"2024-05-04";2;"PENDING";"CALL_CENTER";17;"UPI";1012.0;756.0;114.0;898.0;0.0;0.0;0.0;6;"ON_TIME";12.14;0;"No Return";"NA";129.86
17047;7340;2;"Fashion";"BrandC";"SubCat-1";"2024-01-06";5;"CANCELLED";"CALL_CENTER";6;"CARD";2530.0;1890.0;0.0;2530.0;37.0;0.0;37.0;4;"LOST";53.13;1;"Damaged";"Processed";-1980.13
17047;7340;2;"Fashion";"BrandC";"SubCat-1";"2024-01-06";5;"CANCELLED";"CALL_CENTER";6;"CARD";2530.0;1890.0;0.0;2530.0;92.0;92.0;184.0;11;"LOST";53.13;1;"Damaged";"Processed";-2127.13
20335;1169;2;"Fashion";"BrandC";"SubCat-1";"2024-07-21";3;"DELIVERED";"CALL_CENTER";9;"UPI";1518.0;1134.0;0.0;1518.0;68.0;0.0;68.0;2;"LOST";18.22;0;"No Return";"NA";297.78
361;7541;4;"Electronics";"BrandC";"SubCat-3";"2024-07-27";2;"CANCELLED";"WEB";19;"COD";2340.0;1004.0;0.0;2340.0;0.0;0.0;0.0;6;"ON_TIME";81.9;0;"No Return";"NA";1254.1
2187;1485;4;"Electronics";"BrandC";"SubCat-3";"2024-04-23";5;"PENDING";"CALL_CENTER";20;"CARD";5850.0;2510.0;0.0;5850.0;121.0;0.0;121.0;10;"ON_TIME";122.85;0;"No Return";"NA";3096.15
2187;1485;4;"Electronics";"BrandC";"SubCat-3";"2024-04-23";5;"PENDING";"CALL_CENTER";20;"CARD";5850.0;2510.0;0.0;5850.0;115.0;0.0;115.0;3;"LOST";122.85;0;"No Return";"NA";3102.15
4510;2780;4;"Electronics";"BrandC";"SubCat-3";"2024-10-22";2;"CANCELLED";"APP";8;"COD";2340.0;1004.0;0.0;2340.0;0.0;0.0;0.0;6;"ON_TIME";81.9;0;"No Return";"NA";1254.1
7000;5444;4;"Electronics";"BrandC";"SubCat-3";"2024-04-07";5;"DELIVERED";"CALL_CENTER";19;"UPI";5850.0;2510.0;87.0;5763.0;0.0;0.0;0.0;6;"ON_TIME";70.2;0;"No Return";"NA";3182.8
8549;3260;4;"Electronics";"BrandC";"SubCat-3";"2024-07-18";1;"PENDING";"WEB";24;"COD";1170.0;502.0;382.0;788.0;71.0;105.0;176.0;4;"DELAYED";40.95;0;"No Return";"NA";69.05
9262;289;4;"Electronics";"BrandC";"SubCat-3";"2024-05-25";3;"PENDING";"CALL_CENTER";8;"UPI";3510.0;1506.0;351.0;3159.0;136.0;0.0;136.0;4;"LOST";42.12;0;"No Return";"NA";1474.88
9539;7341;4;"Electronics";"BrandC";"SubCat-3";"2024-03-29";5;"CANCELLED";"APP";7;"CARD";5850.0;2510.0;0.0;5850.0;0.0;0.0;0.0;6;"ON_TIME";122.85;0;"No Return";"NA";3217.15
9641;2937;4;"Electronics";"BrandC";"SubCat-3";"2024-02-16";5;"DELIVERED";"WEB";13;"WALLET";5850.0;2510.0;374.0;5476.0;0.0;0.0;0.0;6;"ON_TIME";117.0;0;"No Return";"NA";2849.0
11980;6139;4;"Electronics";"BrandC";"SubCat-3";"2024-11-26";3;"PENDING";"CALL_CENTER";1;"CARD";3510.0;1506.0;356.0;3154.0;0.0;0.0;0.0;6;"ON_TIME";73.71;0;"No Return";"NA";1574.29
15505;8730;4;"Electronics";"BrandC";"SubCat-3";"2024-08-29";5;"DELIVERED";"WEB";12;"WALLET";5850.0;2510.0;0.0;5850.0;0.0;0.0;0.0;6;"ON_TIME";117.0;0;"No Return";"NA";3223.0
2551;23;5;"Electronics";"BrandB";"SubCat-4";"2024-05-09";1;"DELIVERED";"CALL_CENTER";15;"CARD";907.0;147.0;0.0;907.0;0.0;0.0;0.0;6;"ON_TIME";19.05;0;"No Return";"NA";740.95
3956;4840;5;"Electronics";"BrandB";"SubCat-4";"2024-03-16";5;"PENDING";"CALL_CENTER";9;"CARD";4535.0;735.0;349.0;4186.0;78.0;0.0;78.0;1;"DELAYED";95.24;0;"No Return";"NA";3277.76
3956;4840;5;"Electronics";"BrandB";"SubCat-4";"2024-03-16";5;"PENDING";"CALL_CENTER";9;"CARD";4535.0;735.0;349.0;4186.0;122.0;0.0;122.0;1;"LOST";95.24;0;"No Return";"NA";3233.76
7271;5003;5;"Electronics";"BrandB";"SubCat-4";"2024-01-27";3;"PENDING";"WEB";11;"COD";2721.0;441.0;0.0;2721.0;108.0;0.0;108.0;1;"ON_TIME";95.24;0;"No Return";"NA";2076.76
10961;7730;5;"Electronics";"BrandB";"SubCat-4";"2024-11-20";2;"PENDING";"WEB";16;"COD";1814.0;294.0;77.0;1737.0;0.0;0.0;0.0;6;"ON_TIME";63.49;0;"No Return";"NA";1379.51
12725;1812;5;"Electronics";"BrandB";"SubCat-4";"2024-04-18";1;"CANCELLED";"WEB";13;"WALLET";907.0;147.0;0.0;907.0;0.0;0.0;0.0;6;"ON_TIME";18.14;0;"No Return";"NA";741.86
